avg_quant_gre,c_mech_mean,city,name,state,url
156,2.3,Charlotte,University of North Carolina--Charlotte (Lee),NC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-north-carolina-at-charlotte-02134
158,2.3,Columbia,University of Missouri,MO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-missouri-columbia-02094
160,2.3,Baltimore,University of Maryland--Baltimore County,MD,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-maryland-baltimore-county-02220
158,2.3,Louisville,University of Louisville (Speed),KY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-louisville-02066
155,2.3,Dayton,University of Dayton,OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-dayton-02143
156,2.3,Huntsville,University of Alabama--Huntsville,AL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-alabama-in-huntsville-02005
158,2.3,Manhattan,Kansas State University,KS,https://www.usnews.com/best-graduate-schools/top-engineering-schools/kansas-state-university-02062
159,2.3,Daytona Beach,Embry-Riddle Aeronautical University,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/embry-riddle-aeronautical-university-02315
158,2.3,New York,CUNY--City College (Grove),NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/cuny-city-college-02239
155,2.3,Binghamton,Binghamton University--SUNY (Watson),NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/suny-at-binghamton-02123
154,2.2,Wichita,Wichita State University,KS,https://www.usnews.com/best-graduate-schools/top-engineering-schools/wichita-state-university-02064
158,2.2,Morgantown,West Virginia University (Statler),WV,https://www.usnews.com/best-graduate-schools/top-engineering-schools/west-virginia-university-02190
160,2.2,Logan,Utah State University,UT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/utah-state-university-02182
159,2.2,Milwaukee,University of Wisconsin--Milwaukee,WI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-wisconsin-milwaukee-02193
158,2.2,Burlington,University of Vermont,VT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-vermont-02183
160,2.2,Kingston,University of Rhode Island,RI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-rhode-island-02160
160,2.2,Coral Gables,University of Miami,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-miami-02047
159,2.2,Athens,University of Georgia,GA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-georgia-02238
,2.2,Akron,University of Akron,OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-akron-main-campus-02141
159,2.2,Philadelphia,Temple University,PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/temple-university-02206
163,2.2,Dallas,SMU (Lyle),TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/southern-methodist-university-02172
154,2.2,San Diego,San Diego State University,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/san-diego-state-university-02251
153,2.2,Norfolk,Old Dominion University  (Batten),VA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/old-dominion-university-02185
159,2.2,Tallahassee,Florida A&M University - Florida State University,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/florida-state-university-02215
163,2.2,Waco,Baylor University,TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/baylor-university-02288
159,2.1,Richmond,Virginia Commonwealth University,VA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/virginia-commonwealth-university-02241
155,2.1,San Antonio,University of Texas--San Antonio,TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-texas-at-san-antonio-02257
158,2.1,Tampa,University of South Florida,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-south-florida-main-campus-02048
158,2.1,Durham,University of New Hampshire,NH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-new-hampshire-02104
158,2.1,Merced,University of California--Merced,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-merced-02439
158,2.1,Fayetteville,University of Arkansas--Fayetteville,AR,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-arkansas-02008
,2.1,Rapid City,South Dakota School of Mines and Technology,SD,https://www.usnews.com/best-graduate-schools/top-engineering-schools/south-dakota-school-of-mines-and-technology-02163
152,2.1,Las Cruces,New Mexico State University,NM,https://www.usnews.com/best-graduate-schools/top-engineering-schools/new-mexico-state-university-main-campus-02112
158,2.1,Mississippi State,Mississippi State University (Bagley),MS,https://www.usnews.com/best-graduate-schools/top-engineering-schools/mississippi-state-university-02092
161,2.1,Milwaukee,Marquette University,WI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/marquette-university-02191
159,2.1,Indianapolis,Indiana University-Purdue University--Indianapolis,IN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/indiana-university-purdue-university-indianapolis-02247
149,2.1,Washington,Howard University,DC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/howard-university-02041
158,2.0,Dayton,Wright State University,OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/wright-state-university-02145
154,2.0,Kalamazoo,Western Michigan University,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/western-michigan-university-02202
161,2.0,Laramie,University of Wyoming,WY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-wyoming-02194
159,2.0,Toledo,University of Toledo,OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-toledo-02144
157,2.0,Las Vegas,University of Nevada--Las Vegas (Hughes),NV,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-nevada-las-vegas-02203
159,2.0,Dearborn,University of Michigan--Dearborn,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-michigan-dearborn-02400
158,2.0,Orono,University of Maine,ME,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-maine-02072
157,2.0,Moscow,University of Idaho,ID,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-idaho-02051
157,2.0,Honolulu,University of Hawaii--Manoa,HI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-hawaii-manoa-02050
156,2.0,Denver,University of Colorado--Denver,CO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-colorado-denver-02034
156,2.0,Colorado Springs,University of Colorado--Colorado Springs,CO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-colorado-at-colorado-springs-02033
152,2.0,Melbourne,Florida Institute of Technology,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/florida-institute-of-technology-02043
153,2.0,Boca Raton,Florida Atlantic University,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/florida-atlantic-university-02042
159,1.9,Tulsa,University of Tulsa,OK,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-tulsa-02234
155,1.9,Denton,University of North Texas,TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-north-texas-02436
159,1.9,Reno,University of Nevada--Reno,NV,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-nevada-reno-02101
155,1.9,University,University of Mississippi,MS,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-mississippi-main-campus-02093
157,1.9,Athens,Ohio University (Russ),OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/ohio-university-main-campus-02140
